-370.000000 400.000000 -330.000000, -358.000000 235.000000 -165.000000, -137.000000 364.000000 -719.000000, -239.000000 135.000000 -698.000000, -10.000000 -236.000000 563.000000, -519.000000 210.000000 -380.000000, 206.000000 -115.000000 -673.000000, -337.000000 181.000000 -707.000000, 128.000000 -239.000000 653.000000, -29.000000 -6.000000 649.000000, 
-415.568085 264.602600 -354.566559, -483.448395 266.886902 -211.702423, -152.192703 346.286011 -595.561951, -152.319687 195.502686 -592.973450, -25.866333 -157.221664 620.575623, -567.665771 269.168243 -343.460876, 221.815353 -94.206711 -533.435608, -288.937805 270.710297 -598.692383, 125.101448 -159.719849 619.889221, 51.270603 -22.062046 619.800842, 
-415.504486 264.583679 -354.458160, -483.603455 266.882416 -211.699738, -152.156586 346.282684 -595.608154, -152.334122 195.494766 -592.985107, -25.909428 -157.163040 620.572021, -567.606262 269.190430 -343.603241, 221.815384 -94.206711 -533.435608, -288.927979 270.750610 -598.639343, 125.057129 -159.797897 619.920532, 51.345356 -22.072666 619.778137, 
-415.464752 264.561768 -354.343506, -483.752136 266.861877 -211.700821, -152.136856 346.285126 -595.631592, -152.350983 195.490860 -592.992493, -25.947021 -157.111954 620.565002, -567.552734 269.233063 -343.742554, 221.815353 -94.206711 -533.435547, -288.929749 270.779114 -598.591675, 125.016525 -159.897964 619.951355, 51.415882 -22.095226 619.758789, 
-415.420135 264.540985 -354.258087, -483.861511 266.847321 -211.698044, -152.137833 346.284271 -595.646484, -152.377365 195.495453 -593.009766, -25.973295 -157.053024 620.565186, -567.499817 269.266296 -343.857727, 221.815353 -94.206711 -533.435608, -288.949677 270.798035 -598.558960, 124.992302 -159.963699 619.975159, 51.492191 -22.102322 619.738831, 
-415.351257 264.513824 -354.164581, -484.009277 266.840118 -211.698532, -152.122253 346.275208 -595.652222, -152.398926 195.488846 -593.041077, -26.006447 -157.005173 620.562927, -567.430603 269.301453 -343.992798, 221.815353 -94.206718 -533.435608, -288.956818 270.821716 -598.524597, 124.969902 -160.013275 619.998169, 51.564720 -22.113285 619.721680, 
-415.323517 264.495087 -354.063385, -484.157898 266.808411 -211.690613, -152.100510 346.266724 -595.658020, -152.421570 195.481491 -593.074585, -26.035128 -156.945068 620.567871, -567.384644 269.358917 -344.129303, 221.815353 -94.206711 -533.435669, -288.961945 270.849884 -598.484680, 124.938103 -160.079834 620.016846, 51.651356 -22.117207 619.702026, 
-415.302032 264.497955 -353.980591, -484.267670 266.771240 -211.678986, -152.079239 346.260986 -595.665222, -152.433685 195.474899 -593.099426, -26.066170 -156.879562 620.587402, -567.344482 269.405792 -344.229218, 221.815353 -94.206711 -533.435730, -288.960083 270.875031 -598.450073, 124.908585 -160.154724 620.019958, 51.729900 -22.125975 619.682983, 
-415.281494 264.504211 -353.915833, -484.351929 266.742401 -211.680298, -152.063431 346.249908 -595.671387, -152.442734 195.464661 -593.113220, -26.094288 -156.823669 620.596802, -567.318787 269.432434 -344.314209, 221.815353 -94.206711 -533.435669, -288.961243 270.899384 -598.426208, 124.891449 -160.186493 620.021484, 51.788326 -22.125620 619.673645, 
-415.266449 264.509064 -353.855591, -484.420532 266.733582 -211.680710, -152.051086 346.245056 -595.674988, -152.448868 195.459854 -593.125793, -26.117952 -156.770309 620.623962, -567.294861 269.443634 -344.377350, 221.815353 -94.206711 -533.435669, -288.963470 270.907074 -598.398071, 124.865517 -160.219894 620.005188, 51.836224 -22.117847 619.664001, 
-415.242401 264.509460 -353.799072, -484.478516 266.746857 -211.675308, -152.041275 346.241211 -595.678101, -152.450729 195.453918 -593.139221, -26.135347 -156.739731 620.648865, -567.280212 269.427765 -344.415894, 221.815353 -94.206711 -533.435608, -288.959930 270.913788 -598.379944, 124.843750 -160.257507 620.000916, 51.872787 -22.120083 619.646423, 
-415.209534 264.504089 -353.749786, -484.538116 266.747894 -211.675766, -152.030273 346.235352 -595.688904, -152.457642 195.449493 -593.148376, -26.144991 -156.717010 620.659119, -567.251770 269.431976 -344.479523, 221.815353 -94.206711 -533.435608, -288.959747 270.920349 -598.362854, 124.837105 -160.286804 619.995789, 51.908390 -22.126616 619.641907, 
-415.182617 264.494446 -353.701904, -484.589264 266.750702 -211.679260, -152.009109 346.224792 -595.704773, -152.462204 195.442688 -593.149475, -26.143114 -156.706512 620.663513, -567.227844 269.436340 -344.531403, 221.815353 -94.206718 -533.435608, -288.957703 270.938324 -598.340881, 124.827423 -160.326447 619.979858, 51.942444 -22.132595 619.651245, 
-415.159241 264.490448 -353.671783, -484.652527 266.750946 -211.682678, -151.992920 346.217346 -595.722107, -152.462585 195.437546 -593.149109, -26.142059 -156.697235 620.664001, -567.194580 269.438538 -344.595306, 221.815353 -94.206711 -533.435547, -288.953613 270.952515 -598.322388, 124.818794 -160.352448 619.967834, 51.968529 -22.134075 619.660706, 
-415.142090 264.494690 -353.642365, -484.723419 266.756104 -211.687805, -151.985413 346.211578 -595.733582, -152.464523 195.430893 -593.154419, -26.157766 -156.672729 620.668030, -567.157288 269.426636 -344.681915, 221.815353 -94.206711 -533.435547, -288.951813 270.960815 -598.304077, 124.802406 -160.382263 619.955505, 52.007259 -22.137831 619.667419, 
-415.127594 264.497955 -353.599640, -484.788361 266.754272 -211.693451, -151.986465 346.210175 -595.749023, -152.466202 195.428635 -593.162048, -26.173506 -156.636887 620.660034, -567.135254 269.425964 -344.750885, 221.815353 -94.206711 -533.435669, -288.955017 270.962250 -598.277222, 124.791809 -160.420517 619.938904, 52.061386 -22.144711 619.687805, 
