-184.541473 155.360550 464.653931, -373.225128 437.084686 -216.608322, -241.855927 497.708008 -125.493622, -372.264801 589.329651 -187.462662, -519.012634 -6.173396 21.881012, 460.468414 66.397522 -320.593048, -183.693695 156.329086 605.168579, 459.261719 143.492050 -456.517059, 460.363251 217.058731 -318.742126, -240.795929 527.489197 -277.283417, 
-184.541504 155.360550 464.653961, -373.231323 437.042633 -216.343338, -241.817123 497.979034 -125.478424, -372.295319 589.364624 -187.719849, -519.012695 -6.173396 21.881010, 460.472748 66.395584 -320.592285, -183.693695 156.329102 605.168579, 459.261658 143.492065 -456.517090, 460.358826 217.056808 -318.742981, -240.785065 527.250671 -277.319000, 
-184.541489 155.360535 464.653931, -373.246002 437.033203 -216.100357, -241.783798 498.226654 -125.455040, -372.299164 589.396362 -187.945084, -519.012634 -6.173396 21.881012, 460.480255 66.394371 -320.591888, -183.693726 156.329102 605.168579, 459.259766 143.491684 -456.517609, 460.353577 217.055603 -318.744568, -240.757370 527.017883 -277.368103, 
-184.541489 155.360535 464.653900, -373.267517 437.023041 -215.866272, -241.766663 498.483429 -125.438049, -372.329102 589.428101 -188.202621, -519.012634 -6.173396 21.881012, 460.485138 66.392509 -320.590698, -183.693710 156.329086 605.168640, 459.258850 143.491638 -456.516632, 460.349792 217.054642 -318.745087, -240.726685 526.781311 -277.409302, 
-184.541489 155.360550 464.653961, -373.290894 437.022614 -215.647278, -241.758652 498.759583 -125.417191, -372.348724 589.479797 -188.423462, -519.012634 -6.173396 21.881012, 460.488464 66.390907 -320.590637, -183.693710 156.329102 605.168579, 459.257477 143.491333 -456.515839, 460.348053 217.053665 -318.744476, -240.716080 526.511414 -277.466034, 
-184.541504 155.360535 464.653931, -373.315796 437.002625 -215.406174, -241.735535 499.023804 -125.400597, -372.350464 589.519104 -188.666580, -519.012634 -6.173396 21.881012, 460.496002 66.389160 -320.588287, -183.693695 156.329132 605.168640, 459.253845 143.490356 -456.514465, 460.344849 217.052673 -318.745026, -240.699585 526.247009 -277.517639, 
-184.541489 155.360535 464.653961, -373.326263 436.973022 -215.163086, -241.717499 499.293091 -125.375153, -372.376526 589.539490 -188.921463, -519.012695 -6.173396 21.881012, 460.499695 66.387291 -320.585114, -183.693695 156.329102 605.168640, 459.250854 143.488647 -456.512390, 460.344818 217.051743 -318.745300, -240.668060 526.011780 -277.547180, 
-184.541489 155.360565 464.653931, -373.342346 436.950623 -214.906403, -241.707626 499.572083 -125.338516, -372.408508 589.569702 -189.180618, -519.012634 -6.173396 21.881014, 460.506134 66.386108 -320.580505, -183.693710 156.329102 605.168640, 459.248260 143.485565 -456.511261, 460.341309 217.049820 -318.746216, -240.657013 525.742126 -277.585266, 
-184.541489 155.360535 464.653931, -373.353607 436.911865 -214.655502, -241.699692 499.811096 -125.309853, -372.416901 589.597046 -189.429916, -519.012634 -6.173396 21.881012, 460.509827 66.386154 -320.577850, -183.693710 156.329102 605.168579, 459.246643 143.484650 -456.509888, 460.339600 217.050781 -318.747162, -240.636917 525.494690 -277.619110, 
-184.541504 155.360580 464.653900, -373.362701 436.883881 -214.422943, -241.686310 500.036560 -125.295540, -372.418457 589.641418 -189.667160, -519.012634 -6.173396 21.881012, 460.514832 66.384445 -320.576416, -183.693710 156.329102 605.168518, 459.246429 143.484467 -456.509033, 460.334839 217.049820 -318.747894, -240.620377 525.272400 -277.652039, 
