346.000000 -595.000000 -576.000000, -443.000000 -356.000000 -37.000000, 390.000000 -544.000000 -663.000000, 339.000000 -557.000000 -675.000000, -400.000000 -313.000000 -35.000000, 340.000000 -495.000000 -674.000000, 583.000000 -363.000000 -608.000000, 33.000000 399.000000 256.000000, -529.000000 817.000000 446.000000, -733.000000 551.000000 435.000000, 
441.102600 -564.180664 -533.490967, -467.367767 -258.453461 -97.989166, 522.031311 -497.876312 -683.101501, 378.832703 -556.464966 -675.939026, -326.996063 -257.753357 -95.878151, 373.767334 -413.906128 -614.221008, 512.682251 -425.883514 -545.176941, -82.707352 488.678375 349.011169, -617.389587 750.143066 340.724396, -616.576050 609.473022 341.152832, 
441.331451 -564.303589 -533.554321, -467.367828 -258.451355 -97.990517, 521.985718 -497.652924 -683.155518, 378.866058 -556.448914 -675.931763, -326.996155 -257.755432 -95.876808, 373.693970 -413.996002 -613.959778, 512.709595 -425.884674 -545.126282, -82.707352 488.678345 349.011169, -617.389648 750.142883 340.724396, -616.576050 609.473022 341.152832, 
441.517883 -564.370667 -533.586304, -467.369202 -258.449646 -97.990845, 521.943665 -497.467468 -683.194336, 378.886932 -556.437256 -675.912537, -326.997467 -257.757111 -95.876518, 373.610565 -414.076965 -613.739807, 512.731384 -425.875122 -545.081177, -82.707352 488.678375 349.011169, -617.389709 750.143127 340.724457, -616.575989 609.473083 341.152893, 
441.688751 -564.461121 -533.629700, -467.369202 -258.448303 -97.991966, 521.898743 -497.318634 -683.225647, 378.890015 -556.421387 -675.886658, -326.997498 -257.758514 -95.875404, 373.519867 -414.145996 -613.536072, 512.755127 -425.856567 -545.099426, -82.707359 488.678375 349.011139, -617.389709 750.143066 340.724457, -616.575989 609.473022 341.152863, 
441.836914 -564.535522 -533.658020, -467.368469 -258.447540 -97.992325, 521.862732 -497.202393 -683.261108, 378.904480 -556.403320 -675.891785, -326.996765 -257.759247 -95.875023, 373.457428 -414.212585 -613.360657, 512.761292 -425.838867 -545.106262, -82.707359 488.678375 349.011169, -617.389648 750.143066 340.724457, -616.576050 609.473083 341.152832, 
441.972931 -564.579285 -533.708252, -467.367798 -258.446594 -97.992744, 521.813171 -497.058350 -683.321838, 378.907410 -556.395447 -675.889343, -326.996094 -257.760223 -95.874573, 373.406891 -414.248444 -613.225281, 512.786682 -425.828064 -545.107361, -82.707344 488.678436 349.011108, -617.389587 750.143005 340.724396, -616.575928 609.472900 341.152893, 
442.086456 -564.637329 -533.754700, -467.367798 -258.446594 -97.992744, 521.787842 -496.955383 -683.366699, 378.898987 -556.383545 -675.869019, -326.996124 -257.760162 -95.874580, 373.384430 -414.274750 -613.136169, 512.788452 -425.827637 -545.095154, -82.707344 488.678375 349.011169, -617.389526 750.143005 340.724457, -616.575989 609.473083 341.152893, 
442.204865 -564.699036 -533.793152, -467.367767 -258.446594 -97.992744, 521.761230 -496.872284 -683.404541, 378.899567 -556.364502 -675.851196, -326.996124 -257.760284 -95.874588, 373.355347 -414.303802 -613.021667, 512.790833 -425.827057 -545.081726, -82.707359 488.678436 349.011139, -617.389648 750.143005 340.724396, -616.575989 609.472961 341.152863, 
442.308014 -564.744202 -533.843445, -467.367798 -258.446594 -97.992737, 521.730835 -496.755585 -683.450378, 378.913208 -556.363708 -675.855591, -326.996094 -257.760223 -95.874588, 373.308014 -414.336273 -612.906616, 512.805542 -425.831421 -545.082458, -82.707344 488.678436 349.011139, -617.389587 750.143066 340.724457, -616.575989 609.473022 341.152863, 
442.396606 -564.784241 -533.868958, -467.367767 -258.446533 -97.992744, 521.709167 -496.666870 -683.473877, 378.926727 -556.353455 -675.854492, -326.996094 -257.760223 -95.874580, 373.268188 -414.369934 -612.806335, 512.813599 -425.826050 -545.078979, -82.707344 488.678345 349.011169, -617.389648 750.143066 340.724487, -616.576050 609.473083 341.152832, 
442.459747 -564.806030 -533.885925, -467.367767 -258.446533 -97.992744, 521.688110 -496.603638 -683.493042, 378.935364 -556.351440 -675.851440, -326.996094 -257.760223 -95.874580, 373.242004 -414.388489 -612.736877, 512.827637 -425.809479 -545.088745, -82.707344 488.678375 349.011169, -617.389709 750.143005 340.724396, -616.575928 609.472961 341.152832, 
442.503693 -564.825195 -533.900818, -467.367767 -258.446594 -97.992744, 521.675171 -496.556580 -683.510559, 378.927795 -556.333069 -675.844910, -326.996094 -257.760193 -95.874580, 373.222046 -414.397919 -612.677734, 512.824951 -425.800568 -545.096619, -82.707344 488.678375 349.011139, -617.389648 750.143066 340.724457, -616.575989 609.473022 341.152832, 
442.553497 -564.848328 -533.914185, -467.367767 -258.446533 -97.992737, 521.651001 -496.518585 -683.525879, 378.913300 -556.328979 -675.832581, -326.996094 -257.760284 -95.874580, 373.196777 -414.415375 -612.627197, 512.826111 -425.797272 -545.098206, -82.707352 488.678375 349.011139, -617.389709 750.143066 340.724457, -616.576050 609.473022 341.152863, 
442.598297 -564.863892 -533.926514, -467.367737 -258.446625 -97.992744, 521.633850 -496.492462 -683.543091, 378.907288 -556.322021 -675.827576, -326.996094 -257.760162 -95.874580, 373.182343 -414.428070 -612.584473, 512.832886 -425.793121 -545.099731, -82.707352 488.678436 349.011139, -617.389587 750.143066 340.724518, -616.576050 609.472961 341.152893, 
442.661133 -564.881775 -533.941101, -467.367767 -258.446594 -97.992744, 521.622864 -496.459869 -683.575500, 378.908905 -556.323181 -675.812561, -326.996094 -257.760193 -95.874580, 373.176605 -414.439026 -612.557617, 512.838135 -425.795746 -545.105042, -82.707344 488.678436 349.011169, -617.389587 750.143066 340.724518, -616.576111 609.472839 341.152863, 
442.712372 -564.898315 -533.959900, -467.367767 -258.446594 -97.992744, 521.606079 -496.427185 -683.606140, 378.897308 -556.329407 -675.797180, -326.996155 -257.760223 -95.874580, 373.168091 -414.450958 -612.529785, 512.830200 -425.787842 -545.108398, -82.707359 488.678375 349.011169, -617.389648 750.143066 340.724457, -616.576050 609.472900 341.152893, 
442.763580 -564.905579 -533.965576, -467.367798 -258.446594 -97.992744, 521.587158 -496.399292 -683.627075, 378.888611 -556.340332 -675.778381, -326.996124 -257.760193 -95.874580, 373.158264 -414.461182 -612.505981, 512.828064 -425.781769 -545.109253, -82.707344 488.678345 349.011139, -617.389587 750.143066 340.724396, -616.576050 609.472900 341.152893, 
442.795837 -564.908020 -533.963745, -467.367767 -258.446533 -97.992737, 521.579041 -496.379364 -683.631897, 378.890442 -556.348694 -675.763184, -326.996155 -257.760193 -95.874580, 373.150024 -414.471558 -612.491394, 512.824829 -425.766083 -545.105103, -82.707352 488.678375 349.011139, -617.389587 750.143066 340.724457, -616.576050 609.473022 341.152832, 
442.837952 -564.912231 -533.966919, -467.367798 -258.446564 -97.992744, 521.576416 -496.358276 -683.639221, 378.885956 -556.349609 -675.744385, -326.996033 -257.760223 -95.874580, 373.138153 -414.479156 -612.487000, 512.818604 -425.747986 -545.112244, -82.707359 488.678467 349.011169, -617.389587 750.143066 340.724457, -616.575928 609.473083 341.152832, 
442.870392 -564.919250 -533.971191, -467.367767 -258.446533 -97.992744, 521.569275 -496.340668 -683.648621, 378.881897 -556.358704 -675.730591, -326.996124 -257.760254 -95.874580, 373.124786 -414.488342 -612.475708, 512.804810 -425.739136 -545.116516, -82.707352 488.678375 349.011169, -617.389587 750.143005 340.724487, -616.575989 609.472961 341.152771, 
442.903992 -564.932068 -533.975586, -467.367767 -258.446533 -97.992744, 521.559814 -496.323853 -683.658142, 378.874390 -556.360413 -675.715088, -326.996124 -257.760223 -95.874603, 373.110016 -414.494965 -612.470398, 512.786133 -425.729187 -545.122375, -82.707359 488.678345 349.011108, -617.389709 750.143127 340.724487, -616.576050 609.472961 341.152863, 
442.940704 -564.935913 -533.980957, -467.367767 -258.446594 -97.992744, 521.557495 -496.312042 -683.669128, 378.871765 -556.367981 -675.703613, -326.996155 -257.760254 -95.874580, 373.101501 -414.508392 -612.464294, 512.777100 -425.714783 -545.125793, -82.707352 488.678375 349.011169, -617.389587 750.143005 340.724487, -616.576050 609.472961 341.152863, 
442.977722 -564.941956 -533.991638, -467.367767 -258.446503 -97.992744, 521.549866 -496.286591 -683.680298, 378.867432 -556.377258 -675.691040, -326.996094 -257.760223 -95.874580, 373.092865 -414.517212 -612.448242, 512.770813 -425.703949 -545.121582, -82.707352 488.678345 349.011169, -617.389771 750.143005 340.724518, -616.576050 609.473022 341.152863, 
