-724.791260 -447.246735 -420.130829, 183.710770 577.011292 -697.913635, 179.636917 730.201904 -688.333069, -584.164246 -445.161682 -422.556519, 316.089264 648.201355 -618.207764, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191833, 313.413116 661.997620 -771.288818, 638.123474 -501.772583 380.324310, 
-724.791138 -447.246735 -420.130829, 183.708954 577.016235 -697.746582, 179.697418 730.254272 -688.628662, -584.164246 -445.161682 -422.556519, 316.068787 648.311523 -618.165894, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883659, -243.868546 -346.850647 128.191818, 313.480835 661.826721 -771.270203, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 183.723175 577.040527 -697.587219, 179.762482 730.301025 -688.877991, -584.164307 -445.161682 -422.556519, 316.082062 648.470337 -618.160278, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850739 128.191803, 313.578674 661.596863 -771.278137, 638.123474 -501.772583 380.324310, 
-724.791321 -447.246735 -420.130829, 183.747726 577.071350 -697.448303, 179.822830 730.368896 -689.104919, -584.164246 -445.161682 -422.556519, 316.095306 648.591064 -618.168213, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191803, 313.627350 661.404602 -771.320862, 638.123474 -501.772583 380.324371, 
-724.791260 -447.246735 -420.130829, 183.737183 577.112732 -697.232117, 179.878723 730.399292 -689.323486, -584.164307 -445.161682 -422.556519, 316.154480 648.769043 -618.216919, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191818, 313.690063 661.239197 -771.368958, 638.123474 -501.772583 380.324310, 
-724.791321 -447.246735 -420.130829, 183.785721 577.114685 -697.077148, 179.893677 730.400391 -689.532593, -584.164246 -445.161682 -422.556519, 316.155396 648.963684 -618.230469, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191818, 313.772186 661.064819 -771.415833, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 183.788391 577.088135 -696.972168, 179.865952 730.403564 -689.700500, -584.164246 -445.161682 -422.556519, 316.100037 649.118896 -618.195740, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191803, 313.787842 660.946167 -771.401062, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 183.804642 577.065369 -696.861450, 179.838547 730.436768 -689.879700, -584.164246 -445.161682 -422.556519, 316.031189 649.254700 -618.140869, 496.957581 -500.786896 384.235565, -103.518257 -349.117828 127.883636, -243.868546 -346.850616 128.191803, 313.845856 660.832764 -771.327515, 638.123474 -501.772583 380.324310, 
-724.791138 -447.246735 -420.130829, 183.803238 577.076233 -696.837891, 179.825821 730.450073 -689.978516, -584.164246 -445.161682 -422.556519, 315.985260 649.321594 -618.100708, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191803, 313.861511 660.792480 -771.315552, 638.123474 -501.772583 380.324310, 
-724.791138 -447.246735 -420.130829, 183.817902 577.076355 -696.833496, 179.800003 730.450256 -690.087280, -584.164246 -445.161682 -422.556519, 315.931793 649.425110 -618.081055, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883644, -243.868546 -346.850647 128.191803, 313.902191 660.731934 -771.316345, 638.123474 -501.772583 380.324310, 
-724.791138 -447.246735 -420.130829, 183.797516 577.075500 -696.799927, 179.805313 730.466064 -690.162720, -584.164246 -445.161682 -422.556519, 315.900818 649.476501 -618.067993, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883644, -243.868546 -346.850647 128.191803, 313.905518 660.667297 -771.312866, 638.123474 -501.772583 380.324310, 
-724.791138 -447.246735 -420.130829, 183.792938 577.087158 -696.788147, 179.759323 730.467712 -690.241394, -584.164246 -445.161682 -422.556519, 315.874695 649.566895 -618.070007, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883644, -243.868546 -346.850647 128.191803, 313.937103 660.615845 -771.291870, 638.123474 -501.772583 380.324371, 
-724.791260 -447.246735 -420.130829, 183.796570 577.073914 -696.763611, 179.728836 730.438843 -690.342712, -584.164307 -445.161682 -422.556519, 315.848145 649.663940 -618.072998, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191818, 313.967957 660.554199 -771.299500, 638.123352 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 183.812973 577.065063 -696.713135, 179.722794 730.453552 -690.424500, -584.164307 -445.161682 -422.556519, 315.830841 649.759094 -618.087708, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191818, 313.973206 660.483154 -771.327393, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 183.797165 577.044250 -696.632202, 179.709579 730.437805 -690.524902, -584.164307 -445.161682 -422.556519, 315.839172 649.838257 -618.111023, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191818, 313.994781 660.393188 -771.312927, 638.123474 -501.772583 380.324310, 
