-698.515198 -510.102966 70.138374, -633.112793 -355.349640 -50.275620, -611.090393 -364.786041 94.472916, -261.161194 -534.898071 540.940430, -729.140198 -674.336060 -45.134907, -452.220917 508.794922 694.536804, -548.968079 -504.285126 4.374772, -579.432983 -634.068176 -108.154144, -698.203979 -513.984253 -83.229477, -602.133240 -666.968323 44.770832, 
-698.637878 -510.275787 70.144417, -632.811768 -355.439087 -50.392162, -611.362244 -364.719543 94.393097, -261.161194 -534.898071 540.940430, -729.100830 -674.416443 -45.364376, -452.220917 508.794922 694.536804, -549.007507 -504.331421 4.915316, -579.228882 -633.791687 -108.118080, -698.101501 -513.862061 -83.242470, -602.289978 -667.177490 44.547745, 
-698.619934 -510.427490 70.080223, -632.405090 -355.468628 -50.371990, -611.721680 -364.712585 94.446854, -261.161194 -534.898132 540.940430, -729.102112 -674.398682 -45.482502, -452.220917 508.794922 694.536804, -549.014771 -504.479309 5.463984, -579.108643 -633.501282 -108.077698, -697.941650 -513.765198 -83.276024, -602.344482 -667.559387 44.426708, 
-698.730774 -510.663544 70.004539, -631.876465 -355.480469 -50.362606, -612.126221 -364.771942 94.549919, -261.161163 -534.898010 540.940430, -729.171692 -674.351074 -45.739094, -452.220917 508.794922 694.536804, -549.039185 -504.637207 6.073981, -579.043945 -633.146179 -108.107597, -697.784119 -513.527832 -83.275482, -602.537842 -667.946472 44.172760, 
-698.808716 -510.912201 69.895134, -631.382690 -355.493835 -50.406738, -612.497437 -364.775635 94.612183, -261.161194 -534.898010 540.940552, -729.201782 -674.193542 -45.924618, -452.220917 508.794922 694.536743, -549.074890 -504.786774 6.685524, -578.950317 -632.875305 -108.096611, -697.675293 -513.314148 -83.305489, -602.682800 -668.456970 43.906509, 
-698.810913 -511.091339 69.819443, -631.065247 -355.551605 -50.356857, -612.871643 -364.786987 94.733490, -261.161194 -534.898010 540.940430, -729.240845 -673.995117 -46.212311, -452.220917 508.794922 694.536682, -549.106323 -504.908569 7.124198, -578.838806 -632.464600 -108.037224, -697.655579 -513.145691 -83.343834, -603.001770 -668.844788 43.871883, 
-698.959351 -511.209503 69.699089, -630.721863 -355.581268 -50.320042, -613.202698 -364.804749 94.862366, -261.161224 -534.898071 540.940491, -729.208557 -673.959595 -46.608978, -452.220917 508.794922 694.536804, -549.158142 -504.962585 7.676383, -578.681580 -631.865967 -107.953796, -697.629944 -512.996643 -83.376221, -603.292419 -669.101379 43.904285, 
-699.090637 -511.328766 69.679771, -630.024841 -355.719055 -50.265388, -613.834534 -364.738342 95.106499, -261.161194 -534.898132 540.940430, -729.139343 -673.982422 -46.955456, -452.220917 508.794922 694.536804, -549.225342 -504.958527 8.435584, -578.350586 -631.133606 -107.908951, -697.565857 -512.869141 -83.349617, -603.429260 -669.145813 43.959389, 
-699.294189 -511.435303 69.545944, -629.424377 -355.858002 -50.312416, -614.392334 -364.609070 95.250854, -261.161194 -534.898010 540.940430, -729.091370 -673.905334 -47.149673, -452.220917 508.794922 694.536743, -549.350769 -504.904968 9.326474, -577.908325 -630.216919 -107.884575, -697.502747 -512.686829 -83.297234, -603.489075 -669.255737 43.839005, 
-699.519226 -511.619720 69.396400, -628.970276 -355.910187 -50.383625, -614.930786 -364.486877 95.287079, -261.161194 -534.898010 540.940430, -728.943115 -673.780090 -47.376831, -452.220917 508.794922 694.536804, -549.523132 -504.877686 10.377577, -577.478577 -628.990540 -108.024773, -697.522888 -512.503052 -83.236313, -603.472961 -669.545715 43.551003, 
-699.648621 -511.813354 69.326591, -628.613037 -356.002960 -50.539757, -615.644592 -364.336304 95.286156, -261.161194 -534.898071 540.940430, -728.812073 -673.641174 -47.678818, -452.220917 508.794922 694.536682, -549.648132 -504.914520 11.525597, -577.138306 -627.429138 -108.270317, -697.762451 -512.361450 -83.042908, -603.567383 -670.017456 43.045357, 
-699.873901 -512.024109 69.302025, -627.990784 -356.142944 -50.774841, -616.387329 -363.963470 95.043686, -261.161194 -534.898132 540.940491, -728.374878 -673.703857 -48.197338, -452.220917 508.794922 694.536804, -549.793335 -504.839020 12.721178, -576.510071 -625.838196 -108.476936, -698.037598 -512.203674 -82.830811, -603.680847 -670.243164 42.604862, 
-700.025818 -512.325195 69.296661, -627.135071 -356.544312 -51.133114, -617.367981 -363.677368 94.930763, -261.161194 -534.898071 540.940430, -727.947021 -673.769226 -48.631874, -452.220917 508.794922 694.536682, -549.891113 -504.775482 14.165228, -575.754700 -624.119019 -108.498337, -698.162109 -512.124207 -82.604485, -603.626221 -670.378601 42.261490, 
-700.358765 -512.563110 69.261749, -626.018433 -356.807190 -51.603168, -618.519531 -363.414154 94.582115, -261.161163 -534.898010 540.940430, -727.625000 -673.886292 -49.044472, -452.220917 508.794922 694.536743, -550.018066 -504.592072 15.852043, -575.100342 -622.333557 -108.233978, -698.339050 -511.984039 -82.353867, -603.748596 -670.571533 41.885765, 
-700.666382 -512.897583 69.216827, -624.184998 -356.982117 -52.297817, -619.851196 -363.084076 94.198647, -261.161224 -534.898071 540.940491, -727.314453 -673.909302 -49.440670, -452.220917 508.794922 694.536804, -550.500122 -504.557953 17.820719, -574.423523 -620.439148 -108.101631, -698.449036 -511.665192 -82.135155, -603.796997 -670.790527 41.427586, 
-701.040222 -513.045471 69.165237, -622.854370 -357.242859 -52.855011, -620.900696 -362.663269 93.813683, -261.161194 -534.897949 540.940552, -726.873596 -674.076782 -50.089500, -452.220917 508.794922 694.536743, -550.913452 -504.517700 19.532192, -573.665527 -618.268433 -107.896332, -698.686340 -511.357574 -81.925636, -603.697388 -671.207520 40.985794, 
-701.431763 -513.465332 68.955887, -621.164978 -357.754395 -53.415531, -622.270996 -362.259125 93.402023, -261.161163 -534.898010 540.940491, -726.514648 -674.169128 -50.647781, -452.220917 508.794922 694.536743, -551.320374 -504.644043 21.825483, -573.000427 -616.076843 -107.699753, -699.025452 -510.910583 -81.554359, -603.779236 -671.521118 40.707401, 
-701.877747 -514.207581 68.768707, -619.834656 -358.209503 -53.756973, -623.651062 -362.125824 93.019127, -261.161194 -534.898132 540.940430, -726.076843 -674.201416 -51.279068, -452.220917 508.794922 694.536804, -551.629639 -504.794281 24.019754, -572.302002 -613.772400 -107.511978, -699.159241 -510.540436 -81.192970, -603.685852 -671.869812 40.211002, 
-702.298340 -514.904541 68.576340, -618.402222 -358.773651 -54.243942, -624.776245 -361.820648 92.577492, -261.161194 -534.898010 540.940552, -725.450012 -674.312012 -52.241081, -452.220917 508.794922 694.536743, -552.061096 -504.970276 26.481726, -571.255798 -610.900085 -107.117256, -699.352844 -510.240173 -80.837097, -603.700500 -672.334351 39.767941, 
-702.802368 -515.438477 68.437767, -616.699341 -359.383911 -54.587944, -626.270020 -361.511841 92.155151, -261.161224 -534.897949 540.940430, -724.779724 -674.251770 -53.414917, -452.220917 508.794922 694.536804, -552.412842 -504.970734 29.018440, -570.250122 -607.990356 -106.471382, -699.671326 -509.726105 -80.556175, -603.648193 -672.782959 39.034679, 
-703.209839 -515.894653 68.307518, -615.239990 -359.712402 -54.630081, -627.766541 -361.102631 91.933937, -261.161194 -534.898010 540.940491, -724.034729 -674.370544 -54.539322, -452.220917 508.794922 694.536743, -552.771851 -504.821777 31.952774, -569.001343 -604.452698 -105.848534, -699.922852 -509.216888 -80.228622, -603.698181 -673.222534 38.221226, 
-703.727295 -516.724670 68.063095, -613.841858 -360.238342 -54.538792, -629.455383 -360.750580 91.689667, -261.161133 -534.898071 540.940552, -723.408142 -674.323730 -55.961983, -452.220917 508.794922 694.536804, -553.157593 -504.669373 35.517803, -568.087402 -600.437012 -105.153000, -700.318115 -508.661713 -79.626122, -603.729553 -673.688232 37.313049, 
-704.397766 -517.408386 67.830940, -612.338501 -360.673645 -54.290714, -630.925293 -360.311920 91.364334, -261.161255 -534.898071 540.940430, -722.714722 -674.459412 -57.402992, -452.220917 508.794922 694.536743, -553.541809 -504.753387 38.971260, -567.383667 -596.526550 -104.291611, -700.569031 -508.195282 -79.329689, -603.662354 -674.165649 36.297783, 
-705.199768 -518.355103 67.554588, -610.641724 -361.308472 -54.163845, -632.684448 -359.968506 90.780975, -261.161194 -534.898071 540.940491, -721.635010 -674.436646 -58.855728, -452.220917 508.794922 694.536682, -553.852600 -504.836456 42.250389, -566.596680 -593.017517 -103.506493, -700.767944 -507.663391 -78.781403, -603.355164 -674.726624 35.380142, 
-705.798767 -519.573364 67.257111, -609.395386 -361.545624 -54.144394, -634.422180 -359.797485 90.210617, -261.161194 -534.898010 540.940430, -720.568848 -674.613037 -60.077156, -452.220917 508.794922 694.536804, -554.256042 -504.573303 44.752357, -566.147522 -589.266357 -103.061531, -701.243896 -507.228424 -78.283546, -602.876160 -675.252686 34.113171, 
-706.184448 -520.751404 67.347458, -608.397095 -361.832184 -54.251553, -636.164062 -359.519592 89.472992, -261.161163 -534.898071 540.940430, -719.805054 -674.870728 -61.334339, -452.220917 508.794922 694.536804, -554.614563 -504.106140 46.879379, -565.803345 -585.983826 -102.365112, -702.043762 -506.782196 -77.715820, -602.501038 -675.618225 33.077179, 
-706.497803 -522.047729 67.246521, -606.896301 -361.994415 -54.292393, -638.233521 -359.386414 88.618950, -261.161194 -534.898010 540.940430, -718.828003 -674.914734 -62.834404, -452.220917 508.794922 694.536743, -554.994446 -503.502258 48.617298, -565.344360 -583.048828 -101.806374, -702.921753 -506.317169 -77.276924, -602.431641 -675.803528 32.229126, 
-706.757507 -523.544617 67.112732, -605.011963 -362.018250 -54.504978, -640.537903 -359.268982 87.670784, -261.161133 -534.898010 540.940430, -717.430115 -674.864441 -64.713753, -452.220917 508.794922 694.536743, -555.280884 -502.986511 50.142555, -565.007263 -580.278625 -101.116035, -703.729004 -505.504120 -76.678719, -602.462585 -676.158142 31.612335, 
-706.827454 -524.795776 66.962013, -603.373779 -361.933289 -54.431110, -642.522339 -359.082306 86.925667, -261.161194 -534.898071 540.940308, -716.326599 -674.738525 -66.484177, -452.220917 508.794922 694.536743, -555.608215 -502.340759 51.502522, -564.491028 -577.631653 -100.161613, -704.240906 -504.820404 -76.348640, -602.425964 -676.477295 31.028242, 
-707.145752 -526.202454 66.815033, -601.602966 -361.782623 -54.035389, -644.666870 -359.175049 86.470154, -261.161255 -534.898010 540.940430, -715.242188 -674.453979 -68.589523, -452.220917 508.794922 694.536743, -555.944519 -501.867798 52.910275, -564.405945 -575.453735 -99.293610, -704.755981 -503.734589 -75.980309, -603.078552 -676.841980 31.009476, 
-707.435486 -527.313721 66.766396, -599.976624 -361.742981 -53.743652, -646.708557 -358.819763 85.848572, -261.161133 -534.898010 540.940430, -714.227295 -674.417908 -70.365158, -452.220917 508.794922 694.536743, -556.164429 -501.132294 54.248936, -564.167114 -573.738159 -98.455132, -704.937256 -503.086670 -75.592529, -603.565796 -677.122559 30.893517, 
-707.560547 -528.473938 66.730469, -598.299011 -361.639954 -53.481419, -648.939575 -358.755280 85.054642, -261.161194 -534.898071 540.940491, -713.196594 -674.217041 -72.261620, -452.220917 508.794922 694.536682, -556.158203 -500.310394 55.587200, -563.897217 -572.003418 -97.477303, -705.095642 -502.430389 -75.332191, -604.042480 -677.352295 30.672253, 
