-265.153503 -353.746338 258.095734, -266.784149 -356.374969 117.839066, 482.819366 637.068726 26.462795, 500.071198 -449.342987 464.029846, -719.688538 -258.359497 -208.003372, -709.574280 -319.411835 -65.484406, -647.524475 -176.752518 -58.871078, 483.819824 634.519409 -113.936432, -582.283081 -184.416367 -200.044586, -568.842773 -325.909790 -130.427658, 
-265.153503 -353.746338 258.095734, -266.784119 -356.374969 117.839066, 482.819366 637.068726 26.462795, 500.071228 -449.343048 464.029846, -719.765503 -258.247589 -207.977646, -709.533020 -319.421692 -65.476822, -647.423767 -176.827759 -58.821182, 483.819824 634.519409 -113.936432, -582.296936 -184.377365 -200.056580, -568.887939 -325.939880 -130.630402, 
-265.153473 -353.746338 258.095734, -266.784149 -356.375061 117.839066, 482.819366 637.068787 26.462795, 500.071198 -449.342957 464.029907, -719.825500 -258.164520 -207.923019, -709.464233 -319.455231 -65.449165, -647.348633 -176.843948 -58.789658, 483.819824 634.519409 -113.936432, -582.331421 -184.344101 -200.081055, -568.892273 -325.926605 -130.800522, 
-265.153503 -353.746368 258.095764, -266.784149 -356.375061 117.839066, 482.819366 637.068726 26.462795, 500.071198 -449.342957 464.029846, -719.858459 -258.093170 -207.886597, -709.429749 -319.456390 -65.438515, -647.252686 -176.890976 -58.749100, 483.819824 634.519348 -113.936432, -582.343262 -184.304428 -200.098236, -568.911011 -325.953094 -130.927689, 
-265.153503 -353.746307 258.095734, -266.784180 -356.374969 117.839066, 482.819366 637.068787 26.462795, 500.071106 -449.342957 464.029907, -719.899353 -258.022369 -207.868011, -709.384338 -319.463196 -65.415726, -647.153198 -176.947784 -58.724148, 483.819824 634.519470 -113.936432, -582.386719 -184.240341 -200.109085, -568.938721 -325.996033 -131.130127, 
-265.153503 -353.746307 258.095734, -266.784149 -356.374969 117.839066, 482.819366 637.068848 26.462795, 500.071167 -449.343048 464.029846, -719.960754 -257.964691 -207.823593, -709.282104 -319.458344 -65.346313, -647.021729 -177.024292 -58.705116, 483.819824 634.519348 -113.936432, -582.403931 -184.179825 -200.131317, -568.979309 -326.065186 -131.352356, 
-265.153564 -353.746368 258.095795, -266.784149 -356.375031 117.839066, 482.819366 637.068787 26.462795, 500.071198 -449.342987 464.029846, -720.038452 -257.892120 -207.777267, -709.223633 -319.454193 -65.304085, -646.881836 -177.095032 -58.658634, 483.819824 634.519287 -113.936432, -582.453430 -184.134445 -200.158371, -569.021973 -326.109283 -131.488525, 
-265.153564 -353.746338 258.095764, -266.784149 -356.375061 117.839066, 482.819366 637.068909 26.462795, 500.071198 -449.342987 464.029877, -720.130859 -257.846130 -207.677170, -709.181091 -319.444092 -65.249153, -646.771118 -177.107422 -58.624920, 483.819824 634.519409 -113.936432, -582.524963 -184.137939 -200.213318, -569.047791 -326.134460 -131.602753, 
-265.153503 -353.746338 258.095764, -266.784149 -356.375031 117.839066, 482.819366 637.068726 26.462795, 500.071167 -449.342957 464.029846, -720.216309 -257.768066 -207.587585, -709.159119 -319.452850 -65.163216, -646.660767 -177.124573 -58.607498, 483.819824 634.519409 -113.936432, -582.557617 -184.135910 -200.257980, -569.123230 -326.169342 -131.743500, 
-265.153564 -353.746338 258.095734, -266.784119 -356.375061 117.839066, 482.819366 637.068787 26.462795, 500.071106 -449.343048 464.029846, -720.271362 -257.685364 -207.530701, -709.142029 -319.472534 -65.123634, -646.580811 -177.173294 -58.578434, 483.819824 634.519409 -113.936432, -582.560120 -184.129761 -200.282654, -569.177673 -326.212219 -131.842026, 
-265.153503 -353.746307 258.095703, -266.784149 -356.374969 117.839066, 482.819366 637.068787 26.462795, 500.071106 -449.343048 464.029846, -720.318054 -257.652924 -207.498810, -709.112000 -319.489136 -65.101036, -646.558899 -177.194855 -58.566917, 483.819824 634.519409 -113.936432, -582.581970 -184.115921 -200.285049, -569.205383 -326.236481 -131.943024, 
